Diarienummer,Anordnare namn,Utbildningsnamn,Utbildningsområde,Belsut år 2020 april antal beviljade platser 2020,Beslut år 2020 april antal beviljade platser 2021,Beslut år 2020 Juli antal beviljade platser 2020,Beslut år 2021 antal beviljade platser 2021,Beslut år 2021 antal beviljade  platser 2022,Beslut år 2022 antal beviljade platser 2022,Beslut år 2022 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2024,Beslut år 2023 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser 2024,Beslut år 2024 antal beviljade platser start 2024,Beslut år 2024 antal beviljade start och avslut 2024,Beslut år 2024 antal beviljade start 2025,YH-poäng,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner
MYH 2023/1176,YrkesAkademin YH AB,Electric Propulsion Technologies,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,30,30,0,0,0,40,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1177,YrkesAkademin YH AB,Electrical Driveline,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,0,40,0,0,0,80,Trollhättan,Västra Götaland,Trollhättan-Vänersborg,1,1,1
MYH 2023/1178,YrkesAkademin YH AB,ESS - Energy/Battery Storage Systems,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,0,40,0,0,0,30,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1180,YrkesAkademin YH AB,Cybersäkerhet i elkraftsystem,Data/IT,0,0,0,0,0,0,0,0,0,0,30,0,0,0,40,Västerås,Västmanland,Västerås,1,1,1
MYH 2023/1181,YrkesAkademin YH AB,Power grids - smarta elnät,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,0,35,0,0,0,75,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,2,2
MYH 2023/1182,YrkesAkademin YH AB,Digital station – IEC 61850,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,0,30,0,0,0,45,Malmö,Skåne,Malmö-Lund,1,1,1
MYH 2023/1183,NBI i Sverige AB ,Sustainable Supply Chain,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,40,40,0,0,0,50,Malmö,Skåne,Malmö-Lund,1,1,1
MYH 2023/1196,IHM Business School AB Göteborg,Martech & Inbound Marketing,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,35,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1198,JENSEN Education School AB,Projektekonomi för hållbara projekt i fastighetsförvaltningen,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,35,35,0,0,0,20,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1200,JENSEN Education School AB,Klimateffektiv fastighetsförvaltning och social hållbarhet,Samhällsbyggnad och byggteknik,0,0,0,0,0,0,0,0,0,35,35,0,0,0,30,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1203,Handelsakademin i Göteborg AB,Försäljning Smarta Hem,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,40,40,0,0,0,45,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1208,AGSTU AB,Digitala system för FPGA-teknik,Data/IT,0,0,0,0,0,0,0,0,0,15,30,0,0,0,30,Surahammar,Västmanland,Västerås,1,1,1
MYH 2023/1213,Båstad kommun Akademi Båstad,Dagvattenhantering i utemiljö,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,0,0,0,0,0,30,30,0,0,0,50,Båstad,Skåne,Malmö-Lund,1,1,1
