Anordnare standard,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025,Antal kommuner,Anordnare ren
Handelsakademin i Göteborg AB,Handelsakademin i Göteborg AB,Data/IT,0,35,70,40,160,120,5,handelsakademin i
Handelsakademin i Göteborg AB,Handelsakademin i Göteborg AB,"Ekonomi, administration och försäljning",0,0,0,40,40,0,1,handelsakademin i
Handelsakademin i Göteborg AB,Handelsakademin i Göteborg AB,Samhällsbyggnad och byggteknik,0,0,35,110,80,40,3,handelsakademin i
"Haninge kommun, Centrum Vux","Haninge kommun, Centrum Vux","Ekonomi, administration och försäljning",50,0,0,0,0,0,2,haninge
Hantverksakademin i Sverige AB,Hantverksakademin i Sverige AB,"Ekonomi, administration och försäljning",0,0,0,8,0,0,1,hantverksakademin i sverige
Hermods AB,Hermods AB,Teknik och tillverkning,60,0,0,0,0,0,2,hermods
Hermods AB,Hermods AB Göteborg,"Ekonomi, administration och försäljning",0,0,0,60,0,0,2,hermods
Hermods AB,Hermods AB Göteborg,Pedagogik och undervisning,0,0,0,30,0,0,1,hermods
Hermods AB,Hermods AB Göteborg,Samhällsbyggnad och byggteknik,0,0,0,30,0,0,2,hermods
Hermods AB,Hermods AB Göteborg,Teknik och tillverkning,0,0,30,150,0,0,6,hermods
Hermods AB,Hermods AB Helsingborg,"Ekonomi, administration och försäljning",0,0,30,30,0,0,1,hermods helsingborg
Hermods AB,Hermods AB Helsingborg,Samhällsbyggnad och byggteknik,0,30,30,0,0,0,1,hermods helsingborg
Hermods AB,Hermods AB Karlskrona,"Ekonomi, administration och försäljning",0,0,0,30,0,0,1,hermods karlskrona
Hermods AB,Hermods AB Karlskrona,Hälso- och sjukvård samt socialt arbete,0,0,0,60,60,30,4,hermods karlskrona
Hermods AB,Hermods AB Karlskrona,Samhällsbyggnad och byggteknik,0,0,0,60,0,0,2,hermods karlskrona
Hermods AB,Hermods AB Malmö,Teknik och tillverkning,0,0,0,30,30,0,1,hermods
Hermods AB,Hermods AB Stockholm,Data/IT,0,0,0,30,0,0,1,hermods
Hermods AB,Hermods AB Stockholm,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,30,90,0,0,5,hermods
Hermods AB,Hermods AB Stockholm,Samhällsbyggnad och byggteknik,0,0,0,60,60,30,4,hermods
Hermods AB,Hermods AB Stockholm,Säkerhetstjänster,0,0,0,30,0,0,1,hermods
Hermods AB,Hermods AB Umeå,Samhällsbyggnad och byggteknik,0,0,0,30,0,0,1,hermods
Hermods AB,Hermods AB Umeå,Teknik och tillverkning,0,0,0,60,30,30,4,hermods
Hermods AB,Hermods AB Örebro,Data/IT,0,0,0,60,30,30,3,hermods
Hermods AB,Hermods AB Örebro,Samhällsbyggnad och byggteknik,0,0,0,60,0,0,2,hermods
Hermods AB,Hermods AB Örebro,Teknik och tillverkning,0,0,0,0,30,30,1,hermods
Hermods AB,Hermods AB Östersund,"Ekonomi, administration och försäljning",0,0,0,30,0,0,1,hermods östersund
Hermods AB,Hermods AB Östersund,Hälso- och sjukvård samt socialt arbete,0,0,0,30,0,0,2,hermods östersund
Hermods AB,Hermods AB Östersund,Samhällsbyggnad och byggteknik,0,0,30,30,0,0,1,hermods östersund
Hyper Island Program AB,Hyper Island Program AB,Data/IT,40,80,0,0,0,0,2,hyper island program
Hyper Island Program AB,Hyper Island Program AB,"Ekonomi, administration och försäljning",40,80,0,0,0,0,2,hyper island program
Hyper Island Program AB,Hyper Island Program AB - Karlskrona,Data/IT,0,0,0,55,110,55,2,hyper island program karlskrona
Hyper Island Program AB,Hyper Island Program AB - Karlskrona,"Ekonomi, administration och försäljning",200,0,55,110,160,110,6,hyper island program karlskrona
Hyper Island Program AB,Hyper Island Program AB - Stockholm,Data/IT,0,0,0,0,50,50,1,hyper island program
Hyper Island Program AB,Hyper Island Program AB - Stockholm,"Ekonomi, administration och försäljning",0,0,0,0,60,0,1,hyper island program
"Härryda kommun, Yrkeshögskolan i Mölnlycke","Härryda kommun, Yrkeshögskolan i Mölnlycke","Ekonomi, administration och försäljning",0,0,0,30,0,0,2,härryda
Högskolan Kristianstad Uppdrag AB,Högskolan Kristianstad Uppdrag AB,Hälso- och sjukvård samt socialt arbete,0,0,0,40,0,0,2,högskolan kristianstad uppdrag
Högskolan för lärande och kommunikation i Jönköping AB,Högskolan för lärande och kommunikation i Jönköping AB,Hälso- och sjukvård samt socialt arbete,28,28,0,0,0,0,2,högskolan för lärande och kommunikation i jönköping
IHM Business School AB,IHM Business School AB Göteborg,Data/IT,0,0,0,0,40,40,1,ihm business school
